ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.521773,,,,,,,,,,,,,,,,a0e50ca4-3d92-4aa9-9323-822cb9ccb23e,1119,,"[51.0, 5.9]",3754058,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Fuchs,3812.0,Left Back,45,AFC Bournemouth,28,['5f91d264-1b63-4c64-b560-b53e852993b7'],37,,,,,,,,,,,,,,,,,Leicester City,22,00:24:37.215,Pressure,
,,,,,,,,,,,,,,0.525739,,,,,,,,,,,,,,,,7b590b6e-d1f5-499f-98a0-4a7f877eaf7c,1122,,"[61.9, 11.9]",3754058,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Albrighton,3307.0,Left Midfield,45,AFC Bournemouth,28,['7c81c1d2-de12-4679-9f11-25562b3b9c9f'],38,,,,,,,,,,,,,,,,,Leicester City,22,00:24:38.607,Pressure,
,,,,,,,,,,,,,,0.654192,,,,,,,,,,,,,,,,b08327cd-f150-454b-852a-8a76e7363dda,1126,,"[61.9, 11.3]",3754058,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Albrighton,3307.0,Left Midfield,45,AFC Bournemouth,28,,40,,,,,,,,,,,,,,,,,Leicester City,22,00:24:40.133,Pressure,
,,,,,,,,True,,,,,,0.478973,,,,,,,,,,,,,,,,e41d0d03-7cf1-447d-9af1-a0ce2b5a3e68,1132,,"[60.8, 69.9]",3754058,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,45,AFC Bournemouth,28,"['87eca40c-63cf-4800-85f9-b4c40dbaa7e6', '95b08dcd-d9f5-4671-b52b-3b86259240ce', 'd753498f-c335-4860-97b6-b1703223661f']",42,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:24:42.003,Pressure,
,,,,,,,,,,,,,,0.392735,,,,,,,,,,,,,,,,84b4d77a-89a5-41e8-893c-cc094bd6ad87,1150,,"[22.3, 47.8]",3754058,25,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danny Drinkwater,3662.0,Right Center Midfield,45,AFC Bournemouth,28,"['2f613042-59a3-46df-b87c-f6db928e2d15', 'ceb0996a-74c3-4a45-b3de-f7f0ad0821b8']",1,,,,,,,,,,,,,,,,,Leicester City,22,00:25:01.816,Pressure,
,,,,,,,,True,,,,,,0.333582,,,,,,,,,,,,,,,,ee1df878-37c8-41ce-9dc5-198ac5361120,1157,,"[79.4, 10.6]",3754058,25,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrew Surman,3344.0,Center Defensive Midfield,46,Leicester City,22,"['4c305e79-c01b-401f-a8e3-f3c644c4512d', '73b3ffad-9e17-43a5-a436-a70c80a20075']",6,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:25:06.447,Pressure,
,,,,,,,,,,,,,,0.254076,,,,,,,,,,,,,,,,35ea6fee-2648-4003-9d89-2937aadce9ce,1167,,"[29.1, 34.0]",3754058,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrew Surman,3344.0,Center Defensive Midfield,47,Leicester City,22,"['0ab76ca4-e533-4aa5-a234-89e80c8147e2', 'fc374811-35f5-4f19-84be-20a42ceb961e']",45,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:25:45.568,Pressure,
,,,,,,,,,,,,,,2.196464,,,,,,,,,,,,,,,,7cf036e3-7cba-42f2-8694-9a98eef3885c,1181,,"[13.1, 19.2]",3754058,26,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrew Surman,3344.0,Center Defensive Midfield,48,Leicester City,22,"['61125b2a-a51d-4edb-9e97-e1bcbbe79deb', 'f76d2f01-5840-499c-a49f-0a5112b9a8c7']",3,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:26:03.791,Pressure,
,,,,,,,,,,,,,,0.57847,,,,,,,,,,,,,,,,5d067882-79a3-4066-b21d-a9d40a7fb272,1187,,"[13.1, 16.4]",3754058,26,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Junior Stanislas,3463.0,Left Midfield,48,Leicester City,22,['250bdf5d-4d27-48f3-ae02-5e86c42489eb'],6,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:26:06.608,Pressure,
,,,,,,,,,,,,,,1.031243,,,,,,,,,,,,,,,,6b7dd19b-41b0-4bf2-a83b-bc61d03f7bbe,1196,,"[56.3, 15.8]",3754058,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Harry Arter,3304.0,Left Center Midfield,50,Leicester City,22,"['68cc1291-e23c-4ad5-b61a-3a23f097975c', 'ba13a111-ad2a-4ee5-bc23-1da9869429d8']",42,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:26:42.461,Pressure,
,,,,,,,,,,,,,,0.743927,,,,,,,,,,,,,,,,b36683b6-b5b8-4497-90d6-ff632a55abdd,1205,,"[55.7, 26.9]",3754058,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dan Gosling,3343.0,Right Center Midfield,50,Leicester City,22,"['008f127e-20ac-4491-9887-2f49d78cbcc2', '16f18848-13ac-4705-98ed-d02828a09a10']",45,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:26:45.658,Pressure,
,,,,,,,,,,,,,,0.633483,,,,,,,,,,,,,,,,0e74a825-3959-4ed4-92f4-96b0011b0bff,1221,,"[71.5, 45.7]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dan Gosling,3343.0,Right Center Midfield,50,Leicester City,22,"['ac4dcf83-6f65-4276-bcb8-a87da69f83b3', 'c6eddf7d-da1a-4fe8-89e4-3402e4ef0824']",3,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:03.872,Pressure,
,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,0842902a-57b2-4965-8acf-3e150d574658,1229,,"[46.9, 66.0]",3754058,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dan Gosling,3343.0,Right Center Midfield,50,Leicester City,22,"['61cc028d-cf44-42fb-b45b-e243cd8fcbeb', '97502528-0c06-46eb-a944-a5f30289a528', 'c8635607-4da8-4379-a5ce-22dfc174350c']",12,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:12.832,Pressure,
